"Source:"	"F:\OneDrive\proje\ESP32-GATEWAY-master\HARDWARE\Hardware revision G2 type c\Hardware revision G2\ESP32-GATEWAY_Rev_G.kicad_sch"
"Date:"	"19.11.2022 13:43:11"
"Tool:"	"Eeschema (6.0.8)"
"Component Count:"	"133"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"R5"	"330R/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R6"	"49.9R/1%/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R7"	"49.9R/1%/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R8"	"49.9R/1%/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R9"	"49.9R/1%/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R10"	"10k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R11"	"10k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R12"	"1M/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R13"	"2.2k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R14"	"1k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R15"	"1k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
